Doc,Token,Token_Index,Sent_Token_Index,Chunk_Index
Multi-Task Attentive Residual Networks for Argument Mining,We,0,0,0
Multi-Task Attentive Residual Networks for Argument Mining,explore,1,0,0
Multi-Task Attentive Residual Networks for Argument Mining,the,2,0,0
Multi-Task Attentive Residual Networks for Argument Mining,use,3,0,0
Multi-Task Attentive Residual Networks for Argument Mining,of,4,0,0
Multi-Task Attentive Residual Networks for Argument Mining,residual,5,0,0
Multi-Task Attentive Residual Networks for Argument Mining,networks,6,0,0
Multi-Task Attentive Residual Networks for Argument Mining,and,7,0,0
Multi-Task Attentive Residual Networks for Argument Mining,neural,8,0,0
Multi-Task Attentive Residual Networks for Argument Mining,attention,9,0,0
Multi-Task Attentive Residual Networks for Argument Mining,for,10,0,0
Multi-Task Attentive Residual Networks for Argument Mining,argument,11,0,0
Multi-Task Attentive Residual Networks for Argument Mining,mining,12,0,0
Multi-Task Attentive Residual Networks for Argument Mining,and,13,0,0
Multi-Task Attentive Residual Networks for Argument Mining,in,14,0,0
Multi-Task Attentive Residual Networks for Argument Mining,particular,15,0,0
Multi-Task Attentive Residual Networks for Argument Mining,link,16,0,0
Multi-Task Attentive Residual Networks for Argument Mining,prediction,17,0,0
Multi-Task Attentive Residual Networks for Argument Mining,.,18,0,0
Multi-Task Attentive Residual Networks for Argument Mining,The,19,1,0
Multi-Task Attentive Residual Networks for Argument Mining,method,20,1,0
Multi-Task Attentive Residual Networks for Argument Mining,we,21,1,0
Multi-Task Attentive Residual Networks for Argument Mining,propose,22,1,0
Multi-Task Attentive Residual Networks for Argument Mining,makes,23,1,0
Multi-Task Attentive Residual Networks for Argument Mining,no,24,1,0
Multi-Task Attentive Residual Networks for Argument Mining,assumptions,25,1,0
Multi-Task Attentive Residual Networks for Argument Mining,on,26,1,0
Multi-Task Attentive Residual Networks for Argument Mining,document,27,1,0
Multi-Task Attentive Residual Networks for Argument Mining,or,28,1,0
Multi-Task Attentive Residual Networks for Argument Mining,argument,29,1,0
Multi-Task Attentive Residual Networks for Argument Mining,structure,30,1,0
Multi-Task Attentive Residual Networks for Argument Mining,.,31,1,0
Multi-Task Attentive Residual Networks for Argument Mining,We,32,2,0
Multi-Task Attentive Residual Networks for Argument Mining,propose,33,2,0
Multi-Task Attentive Residual Networks for Argument Mining,a,34,2,0
Multi-Task Attentive Residual Networks for Argument Mining,residual,35,2,0
Multi-Task Attentive Residual Networks for Argument Mining,architecture,36,2,0
Multi-Task Attentive Residual Networks for Argument Mining,that,37,2,0
Multi-Task Attentive Residual Networks for Argument Mining,exploits,38,2,0
Multi-Task Attentive Residual Networks for Argument Mining,attention,39,2,0
Multi-Task Attentive Residual Networks for Argument Mining,",",40,2,0
Multi-Task Attentive Residual Networks for Argument Mining,multi-task,41,2,0
Multi-Task Attentive Residual Networks for Argument Mining,learning,42,2,0
Multi-Task Attentive Residual Networks for Argument Mining,",",43,2,0
Multi-Task Attentive Residual Networks for Argument Mining,and,44,2,0
Multi-Task Attentive Residual Networks for Argument Mining,makes,45,2,0
Multi-Task Attentive Residual Networks for Argument Mining,use,46,2,0
Multi-Task Attentive Residual Networks for Argument Mining,of,47,2,0
Multi-Task Attentive Residual Networks for Argument Mining,ensemble,48,2,0
Multi-Task Attentive Residual Networks for Argument Mining,.,49,2,0
Multi-Task Attentive Residual Networks for Argument Mining,We,50,3,0
Multi-Task Attentive Residual Networks for Argument Mining,evaluate,51,3,0
Multi-Task Attentive Residual Networks for Argument Mining,it,52,3,0
Multi-Task Attentive Residual Networks for Argument Mining,on,53,3,0
Multi-Task Attentive Residual Networks for Argument Mining,a,54,3,0
Multi-Task Attentive Residual Networks for Argument Mining,challenging,55,3,0
Multi-Task Attentive Residual Networks for Argument Mining,data,56,3,0
Multi-Task Attentive Residual Networks for Argument Mining,set,57,3,0
Multi-Task Attentive Residual Networks for Argument Mining,consisting,58,3,0
Multi-Task Attentive Residual Networks for Argument Mining,of,59,3,0
Multi-Task Attentive Residual Networks for Argument Mining,usergenerated,60,3,0
Multi-Task Attentive Residual Networks for Argument Mining,comments,61,3,0
Multi-Task Attentive Residual Networks for Argument Mining,",",62,3,0
Multi-Task Attentive Residual Networks for Argument Mining,as,63,3,0
Multi-Task Attentive Residual Networks for Argument Mining,well,64,3,0
Multi-Task Attentive Residual Networks for Argument Mining,as,65,3,0
Multi-Task Attentive Residual Networks for Argument Mining,on,66,3,0
Multi-Task Attentive Residual Networks for Argument Mining,two,67,3,0
Multi-Task Attentive Residual Networks for Argument Mining,other,68,3,0
Multi-Task Attentive Residual Networks for Argument Mining,datasets,69,3,0
Multi-Task Attentive Residual Networks for Argument Mining,consisting,70,3,0
Multi-Task Attentive Residual Networks for Argument Mining,of,71,3,0
Multi-Task Attentive Residual Networks for Argument Mining,scientific,72,3,0
Multi-Task Attentive Residual Networks for Argument Mining,publications,73,3,0
Multi-Task Attentive Residual Networks for Argument Mining,.,74,3,0
Multi-Task Attentive Residual Networks for Argument Mining,On,75,4,0
Multi-Task Attentive Residual Networks for Argument Mining,the,76,4,0
Multi-Task Attentive Residual Networks for Argument Mining,user-generated,77,4,0
Multi-Task Attentive Residual Networks for Argument Mining,content,78,4,0
Multi-Task Attentive Residual Networks for Argument Mining,dataset,79,4,0
Multi-Task Attentive Residual Networks for Argument Mining,",",80,4,0
Multi-Task Attentive Residual Networks for Argument Mining,our,81,4,0
Multi-Task Attentive Residual Networks for Argument Mining,model,82,4,0
Multi-Task Attentive Residual Networks for Argument Mining,outperforms,83,4,0
Multi-Task Attentive Residual Networks for Argument Mining,state-of-the-art,84,4,0
Multi-Task Attentive Residual Networks for Argument Mining,methods,85,4,0
Multi-Task Attentive Residual Networks for Argument Mining,that,86,4,0
Multi-Task Attentive Residual Networks for Argument Mining,rely,87,4,0
Multi-Task Attentive Residual Networks for Argument Mining,on,88,4,0
Multi-Task Attentive Residual Networks for Argument Mining,domain,89,4,0
Multi-Task Attentive Residual Networks for Argument Mining,knowledge,90,4,0
Multi-Task Attentive Residual Networks for Argument Mining,.,91,4,0
Multi-Task Attentive Residual Networks for Argument Mining,On,92,5,0
Multi-Task Attentive Residual Networks for Argument Mining,the,93,5,0
Multi-Task Attentive Residual Networks for Argument Mining,scientific,94,5,0
Multi-Task Attentive Residual Networks for Argument Mining,literature,95,5,0
Multi-Task Attentive Residual Networks for Argument Mining,datasets,96,5,0
